City,Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Pittsburgh,United States,8,100.00%,8,87.50%,1.12,00:00:00,0.00%,0,$0.00
(not set),China,7,100.00%,7,100.00%,1.00,00:00:00,0.00%,0,$0.00
Vienna,Austria,7,85.71%,6,57.14%,2.00,00:00:03,0.00%,0,$0.00
Campinas,Brazil,7,57.14%,4,0.00%,4.29,00:04:45,0.00%,0,$0.00
Mississauga,Canada,7,100.00%,7,42.86%,2.43,00:03:11,0.00%,0,$0.00
Montreal,Canada,7,100.00%,7,42.86%,2.43,00:00:14,0.00%,0,$0.00
Milan,Italy,7,100.00%,7,85.71%,1.14,00:00:00,0.00%,0,$0.00
Chiyoda,Japan,7,100.00%,7,85.71%,0.86,00:00:00,0.00%,0,$0.00
Osaka,Japan,7,100.00%,7,100.00%,1.00,00:00:00,0.00%,0,$0.00
San Jose,United States,7,100.00%,7,71.43%,1.71,00:00:05,0.00%,0,$0.00
Cape Town,South Africa,7,57.14%,4,28.57%,5.29,00:02:34,0.00%,0,$0.00
(not set),Algeria,6,100.00%,6,50.00%,1.50,<00:00:01,0.00%,0,$0.00
Fortaleza,Brazil,6,100.00%,6,33.33%,1.33,00:00:00,0.00%,0,$0.00
Belo Horizonte,Brazil,6,100.00%,6,33.33%,1.67,<00:00:01,0.00%,0,$0.00
Hangzhou,China,6,100.00%,6,66.67%,1.33,00:00:23,0.00%,0,$0.00
Chengdu,China,6,100.00%,6,83.33%,1.17,00:00:15,0.00%,0,$0.00
Cologne,Germany,6,100.00%,6,83.33%,1.17,00:00:08,0.00%,0,$0.00
Tel Aviv-Yafo,Israel,6,83.33%,5,50.00%,1.83,00:00:05,0.00%,0,$0.00
Daejeon,South Korea,6,100.00%,6,66.67%,1.00,00:00:18,0.00%,0,$0.00
Warsaw,Poland,6,100.00%,6,50.00%,1.50,00:01:10,0.00%,0,$0.00
Stockholm,Sweden,6,100.00%,6,66.67%,1.67,00:00:06,0.00%,0,$0.00
Sacramento,United States,6,66.67%,4,83.33%,1.17,00:00:00,0.00%,0,$0.00
Sunnyvale,United States,6,100.00%,6,83.33%,1.17,<00:00:01,0.00%,0,$0.00
Indianapolis,United States,6,100.00%,6,100.00%,1.00,00:00:00,0.00%,0,$0.00
Detroit,United States,6,100.00%,6,100.00%,1.00,00:00:00,0.00%,0,$0.00
San Antonio,United States,6,100.00%,6,50.00%,1.50,00:00:05,0.00%,0,$0.00
(not set),Germany,5,100.00%,5,60.00%,1.40,00:00:15,0.00%,0,$0.00
(not set),France,5,100.00%,5,80.00%,1.20,<00:00:01,0.00%,0,$0.00
Buenos Aires,Argentina,5,100.00%,5,60.00%,1.40,00:00:23,0.00%,0,$0.00
Adelaide,Australia,5,100.00%,5,60.00%,1.40,00:00:00,0.00%,0,$0.00
Melbourne,Australia,5,100.00%,5,60.00%,1.40,00:01:40,0.00%,0,$0.00
Brussels,Belgium,5,100.00%,5,100.00%,1.00,00:00:00,0.00%,0,$0.00
Aracaju,Brazil,5,80.00%,4,40.00%,3.00,00:00:18,0.00%,0,$0.00
Tianjin,China,5,100.00%,5,80.00%,0.80,00:00:00,0.00%,0,$0.00
Suzhou,China,5,100.00%,5,100.00%,1.00,00:00:00,0.00%,0,$0.00
Nanchang,China,5,100.00%,5,100.00%,1.00,00:00:00,0.00%,0,$0.00
San Jose,Costa Rica,5,100.00%,5,40.00%,3.00,00:01:05,0.00%,0,$0.00
