# ----------------------------------------
# All Web Site Data
# Location
# 20150408-20160122
# ----------------------------------------

City,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
(not set),"1,329",99.77%,"1,326",85.33%,1.12,00:00:26,0.00%,0,$0.00
Houston,456,35.09%,160,6.36%,11.87,00:05:35,0.00%,0,$0.00
New York,89,100.00%,89,86.52%,1.35,00:00:15,0.00%,0,$0.00
Amsterdam-Zuidoost,40,100.00%,40,100.00%,1.00,00:00:00,0.00%,0,$0.00
London,35,100.00%,35,60.00%,2.26,00:00:32,0.00%,0,$0.00
Samara,33,6.06%,2,81.82%,1.36,00:00:00,0.00%,0,$0.00
Chicago,29,100.00%,29,79.31%,1.45,00:00:05,0.00%,0,$0.00
Beijing,28,85.71%,24,64.29%,1.14,00:02:01,0.00%,0,$0.00
Seoul,27,100.00%,27,77.78%,2.26,00:00:02,0.00%,0,$0.00
Los Angeles,27,85.19%,23,62.96%,3.22,00:01:23,0.00%,0,$0.00
,"4,255",87.33%,"3,716",69.42%,2.70,00:01:01,0.00%,0,$0.00

Day Index,Sessions,Avg. Session Duration
10/11/15,4,00:00:00
10/12/15,6,00:01:21
10/13/15,3,00:00:00
10/14/15,6,00:00:00
10/15/15,2,00:01:06
10/16/15,9,00:00:01
10/17/15,1,00:00:30
10/18/15,7,00:02:32
10/19/15,7,00:00:13
10/20/15,13,00:00:58
10/21/15,7,00:00:38
10/22/15,2,00:09:06
10/23/15,13,00:00:02
10/24/15,0,00:00:00
10/25/15,7,00:00:08
10/26/15,1,00:00:00
10/27/15,4,00:00:00
10/28/15,3,00:01:48
10/29/15,3,00:00:12
10/30/15,3,00:01:26
10/31/15,11,00:01:14
11/1/15,5,00:00:04
11/2/15,0,00:00:00
11/3/15,4,00:03:28
11/4/15,1,00:00:00
11/5/15,3,00:00:44
11/6/15,6,00:00:17
11/7/15,1,00:00:00
11/8/15,3,00:00:09
11/9/15,4,<00:00:01
11/10/15,3,00:00:21
11/11/15,13,00:00:16
11/12/15,6,00:00:17
11/13/15,10,00:00:25
11/14/15,4,00:04:42
11/15/15,1,00:00:00
11/16/15,35,00:00:01
11/17/15,11,<00:00:01
11/18/15,28,00:00:15
11/19/15,52,00:00:03
11/20/15,6,00:03:46
11/21/15,40,00:00:00
11/22/15,19,00:00:06
11/23/15,41,00:00:01
11/24/15,32,00:00:13
11/25/15,35,00:00:00
11/26/15,22,00:00:12
11/27/15,25,00:00:04
11/28/15,31,00:00:00
11/29/15,4,00:02:33
11/30/15,34,<00:00:01
12/1/15,0,00:00:00
12/2/15,4,00:00:47
12/3/15,6,00:01:45
12/4/15,4,00:02:29
12/5/15,5,00:07:22
12/6/15,12,00:03:21
12/7/15,6,00:12:34
12/8/15,5,00:00:18
12/9/15,4,<00:00:01
12/10/15,5,00:02:05
12/11/15,6,00:00:55
12/12/15,7,00:00:01
12/13/15,2,00:01:06
12/14/15,7,00:00:00
12/15/15,87,00:00:07
12/16/15,18,00:00:13
12/17/15,4,00:01:46
12/18/15,0,00:00:00
12/19/15,6,00:02:08
12/20/15,8,00:00:51
12/21/15,24,00:00:03
12/22/15,1,00:00:00
12/23/15,46,<00:00:01
12/24/15,22,00:00:00
12/25/15,13,00:00:00
12/26/15,25,<00:00:01
12/27/15,39,00:00:00
12/28/15,29,<00:00:01
12/29/15,1,00:00:00
12/30/15,2,00:00:00
12/31/15,41,00:00:00
1/1/16,3,00:00:46
1/2/16,47,00:00:30
1/3/16,30,00:00:00
1/4/16,15,00:00:39
1/5/16,12,00:00:05
1/6/16,9,00:03:31
1/7/16,5,00:00:25
1/8/16,16,00:02:38
1/9/16,35,00:00:09
1/10/16,30,00:00:00
1/11/16,4,00:04:20
1/12/16,24,00:00:04
1/13/16,3,00:00:00
1/14/16,4,00:01:32
1/15/16,14,00:02:44
1/16/16,3,00:03:23
1/17/16,5,00:01:53
1/18/16,2,00:00:00
1/19/16,6,00:00:05
1/20/16,6,00:03:27
1/21/16,25,00:00:00
1/22/16,53,00:00:16
,"4,255",00:01:01
